DEPARTAMENTO,MES,Numero Eventos Reportados,SISTEMAS AFECTADOS,SEXO FEMENINO,SEXO MASCULINO,SEXO SIN ESPECIFICAR,CASOS NO SERIOS,CASOS SERIOS,EVENTO CLASIFICADO COMO FALLO TERAPEUTICO (FT),EVENTO CLASIFICADO COMO REACCION ADVERSA A MEDICAMENTO (RAM),EVENTO CLASIFICADO COMO PROBLEMA DE CALIDAD (PC),EVENTO CLASIFICADO COMO ERROR DE MEDICACIÓN (EM),EVENTO CLASIFICADO COMO EVENTO SUPUESTAMENTE ATRIBUIBLE A LA VACUNACIÓN (ESAVI)
AMANZONAS,ABRIL DE 2020,10,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS VASCULARES EXTRACARDIACOS,10,0,0,9,1,0,10,0,0,0
ANTIOQUIA,ABRIL DE 2020,2061,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,1190,869,2,1741,320,70,1861,16,114,0
ARAUCA,ABRIL DE 2020,95,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,64,31,0,81,14,3,91,0,1,0
ARCHIPIÉLAGO DE SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA,ABRIL DE 2020,6,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,5,1,0,6,0,0,6,0,0,0
ATLÁNTICO,ABRIL DE 2020,434,TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,242,189,3,356,78,14,394,5,21,0
BOGOTÁ D C,ABRIL DE 2020,3750,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,2199,1373,178,3081,669,67,3392,17,271,3
BOLÍVAR,ABRIL DE 2020,232,TRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA REPRODUCCION VARONESTRASTORNOS DE LA VISIONTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS FETALESTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,140,91,1,181,51,5,209,3,15,0
BOYACÁ,ABRIL DE 2020,76,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,37,39,0,53,23,5,67,0,4,0
CALDAS,ABRIL DE 2020,115,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,69,46,0,97,18,6,102,2,5,0
CAQUETÁ,ABRIL DE 2020,24,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS VASCULARES EXTRACARDIACOS,10,14,0,14,10,0,22,0,2,0
